Tick 1 0_6 attacks 1_9 with 49100, killing 3 units
0_4 attacks 1_7 with 99788, killing 3 units
0_1 attacks 1_3 with 100048, killing 2 units
1_5 attacks 0_0 with 77070, killing 8 units
0_3 attacks 1_1 with 50700, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 26320, killing 0 units
1_7 attacks 0_6 with 36754, killing 5 units
0_0 attacks 1_0 with 49005, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2380_6 attacks 1_5 with 51200, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 99372, killing 3 units
0_1 attacks 1_3 with 100000, killing 2 units
1_5 attacks 0_0 with 77040, killing 7 units
0_3 attacks 1_1 with 50530, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 26160, killing 0 units
1_7 attacks 0_6 with 36652, killing 5 units
0_0 attacks 1_0 with 48774, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2390_6 attacks 1_5 with 51000, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 98956, killing 3 units
0_1 attacks 1_3 with 99952, killing 2 units
1_5 attacks 0_0 with 77010, killing 7 units
0_3 attacks 1_1 with 50360, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 26000, killing 0 units
1_7 attacks 0_6 with 36550, killing 5 units
0_0 attacks 1_0 with 48543, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2400_6 attacks 1_5 with 50800, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 98540, killing 3 units
0_1 attacks 1_3 with 99904, killing 2 units
1_5 attacks 0_0 with 76980, killing 7 units
0_3 attacks 1_1 with 50190, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 25840, killing 0 units
1_7 attacks 0_6 with 36448, killing 5 units
0_0 attacks 1_0 with 48312, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2410_6 attacks 1_5 with 50600, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 98124, killing 3 units
0_1 attacks 1_3 with 99856, killing 2 units
1_5 attacks 0_0 with 76950, killing 7 units
0_3 attacks 1_1 with 50020, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 25680, killing 0 units
1_7 attacks 0_6 with 36346, killing 5 units
0_0 attacks 1_0 with 48081, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2420_6 attacks 1_5 with 50400, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 97708, killing 3 units
0_1 attacks 1_3 with 99808, killing 2 units
1_5 attacks 0_0 with 76920, killing 7 units
0_3 attacks 1_1 with 49850, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 25520, killing 0 units
1_7 attacks 0_6 with 36244, killing 5 units
0_0 attacks 1_0 with 47850, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2430_6 attacks 1_5 with 50200, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 97292, killing 3 units
0_1 attacks 1_3 with 99760, killing 2 units
1_5 attacks 0_0 with 76890, killing 7 units
0_3 attacks 1_1 with 49680, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 25360, killing 0 units
1_7 attacks 0_6 with 36142, killing 5 units
0_0 attacks 1_0 with 47619, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2440_6 attacks 1_5 with 50000, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 96876, killing 3 units
0_1 attacks 1_3 with 99712, killing 2 units
1_5 attacks 0_0 with 76860, killing 7 units
0_3 attacks 1_1 with 49510, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 25200, killing 0 units
1_7 attacks 0_6 with 36040, killing 5 units
0_0 attacks 1_0 with 47388, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2450_6 attacks 1_5 with 49800, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 96460, killing 3 units
0_1 attacks 1_3 with 99664, killing 2 units
1_5 attacks 0_0 with 76830, killing 7 units
0_3 attacks 1_1 with 49340, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 25040, killing 0 units
1_7 attacks 0_6 with 35938, killing 5 units
0_0 attacks 1_0 with 47157, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2460_6 attacks 1_5 with 49600, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 96044, killing 3 units
0_1 attacks 1_3 with 99616, killing 2 units
1_5 attacks 0_0 with 76800, killing 7 units
0_3 attacks 1_1 with 49170, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 24880, killing 0 units
1_7 attacks 0_6 with 35836, killing 5 units
0_0 attacks 1_0 with 46926, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2470_6 attacks 1_5 with 49400, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 95628, killing 3 units
0_1 attacks 1_3 with 99568, killing 2 units
1_5 attacks 0_0 with 76770, killing 7 units
0_3 attacks 1_1 with 49000, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 24720, killing 0 units
1_7 attacks 0_6 with 35734, killing 5 units
0_0 attacks 1_0 with 46695, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2480_6 attacks 1_5 with 49200, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 95212, killing 3 units
0_1 attacks 1_3 with 99520, killing 2 units
1_5 attacks 0_0 with 76740, killing 7 units
0_3 attacks 1_1 with 48830, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 24560, killing 0 units
1_7 attacks 0_6 with 35632, killing 5 units
0_0 attacks 1_0 with 46464, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2490_6 attacks 1_5 with 49000, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 94796, killing 3 units
0_1 attacks 1_3 with 99472, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 48660, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 24400, killing 0 units
1_7 attacks 0_6 with 35530, killing 5 units
0_0 attacks 1_0 with 46233, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2501_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 94380, killing 3 units
0_1 attacks 1_3 with 99424, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 48490, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_6 with 24240, killing 0 units
1_7 attacks 0_6 with 35428, killing 5 units
0_0 attacks 1_0 with 46002, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77445, killing 8 units
Tick 2510_6 attacks 1_6 with 48600, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 93964, killing 3 units
0_1 attacks 1_3 with 99376, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 48320, killing 0 units
1_9 attacks 0_1 with 24675, killing 3 units
0_2 attacks 1_9 with 24080, killing 1 units
1_7 attacks 0_6 with 35326, killing 5 units
0_0 attacks 1_0 with 45771, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77436, killing 8 units
Tick 2520_6 attacks 1_6 with 48400, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 93548, killing 3 units
0_1 attacks 1_3 with 99328, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 48150, killing 0 units
1_9 attacks 0_1 with 24660, killing 3 units
0_2 attacks 1_9 with 23920, killing 1 units
1_7 attacks 0_6 with 35224, killing 5 units
0_0 attacks 1_0 with 45540, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77427, killing 8 units
Tick 2530_6 attacks 1_6 with 48200, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 93132, killing 3 units
0_1 attacks 1_3 with 99280, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 47980, killing 0 units
1_9 attacks 0_1 with 24645, killing 3 units
0_2 attacks 1_9 with 23760, killing 1 units
1_7 attacks 0_6 with 35122, killing 5 units
0_0 attacks 1_0 with 45309, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77418, killing 8 units
Tick 2540_6 attacks 1_6 with 48000, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 92716, killing 3 units
0_1 attacks 1_3 with 99232, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 47810, killing 0 units
1_9 attacks 0_1 with 24630, killing 3 units
0_2 attacks 1_9 with 23600, killing 1 units
1_7 attacks 0_6 with 35020, killing 5 units
0_0 attacks 1_0 with 45078, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77409, killing 8 units
Tick 2550_6 attacks 1_6 with 47800, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 92300, killing 3 units
0_1 attacks 1_3 with 99184, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 47640, killing 0 units
1_9 attacks 0_1 with 24615, killing 3 units
0_2 attacks 1_9 with 23440, killing 1 units
1_7 attacks 0_6 with 34918, killing 5 units
0_0 attacks 1_0 with 44847, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77400, killing 8 units
Tick 2560_6 attacks 1_6 with 47600, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 91884, killing 3 units
0_1 attacks 1_3 with 99136, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 47470, killing 0 units
1_9 attacks 0_1 with 24600, killing 3 units
0_2 attacks 1_9 with 23280, killing 1 units
1_7 attacks 0_6 with 34816, killing 5 units
0_0 attacks 1_0 with 44616, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77391, killing 8 units
Tick 2570_6 attacks 1_6 with 47400, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 91468, killing 3 units
0_1 attacks 1_3 with 99088, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 47300, killing 0 units
1_9 attacks 0_1 with 24585, killing 3 units
0_2 attacks 1_9 with 23120, killing 1 units
1_7 attacks 0_6 with 34714, killing 5 units
0_0 attacks 1_0 with 44385, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77382, killing 8 units
Tick 2580_6 attacks 1_6 with 47200, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 91052, killing 2 units
0_1 attacks 1_3 with 99040, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 47130, killing 0 units
1_9 attacks 0_1 with 24570, killing 3 units
0_2 attacks 1_9 with 22960, killing 1 units
1_7 attacks 0_6 with 34646, killing 5 units
0_0 attacks 1_0 with 44154, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77373, killing 8 units
Tick 2590_6 attacks 1_6 with 47000, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 90636, killing 2 units
0_1 attacks 1_3 with 98992, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 46960, killing 0 units
1_9 attacks 0_1 with 24555, killing 3 units
0_2 attacks 1_9 with 22800, killing 1 units
1_7 attacks 0_6 with 34578, killing 5 units
0_0 attacks 1_0 with 43923, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77364, killing 8 units
Tick 2600_6 attacks 1_6 with 46800, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 90220, killing 2 units
0_1 attacks 1_3 with 98944, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 46790, killing 0 units
1_9 attacks 0_1 with 24540, killing 3 units
0_2 attacks 1_9 with 22640, killing 1 units
1_7 attacks 0_6 with 34510, killing 5 units
0_0 attacks 1_0 with 43692, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77355, killing 8 units
Tick 2610_6 attacks 1_6 with 46600, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 89804, killing 2 units
0_1 attacks 1_3 with 98896, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 46620, killing 0 units
1_9 attacks 0_1 with 24525, killing 3 units
0_2 attacks 1_9 with 22480, killing 1 units
1_7 attacks 0_6 with 34442, killing 5 units
0_0 attacks 1_0 with 43461, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77346, killing 8 units
Tick 2620_6 attacks 1_6 with 46400, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 89388, killing 2 units
0_1 attacks 1_3 with 98848, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 46450, killing 0 units
1_9 attacks 0_1 with 24510, killing 3 units
0_2 attacks 1_9 with 22320, killing 1 units
1_7 attacks 0_6 with 34374, killing 5 units
0_0 attacks 1_0 with 43230, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77337, killing 8 units
Tick 2630_6 attacks 1_6 with 46200, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 88972, killing 2 units
0_1 attacks 1_3 with 98800, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 46280, killing 0 units
1_9 attacks 0_1 with 24495, killing 3 units
0_2 attacks 1_9 with 22160, killing 1 units
1_7 attacks 0_6 with 34306, killing 5 units
0_0 attacks 1_0 with 42999, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77328, killing 8 units
Tick 2640_6 attacks 1_6 with 46000, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 88556, killing 2 units
0_1 attacks 1_3 with 98752, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 46110, killing 0 units
1_9 attacks 0_1 with 24480, killing 3 units
0_2 attacks 1_9 with 22000, killing 1 units
1_7 attacks 0_6 with 34238, killing 5 units
0_0 attacks 1_0 with 42768, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77319, killing 8 units
Tick 2650_6 attacks 1_6 with 45800, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 88140, killing 2 units
0_1 attacks 1_3 with 98704, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 45940, killing 0 units
1_9 attacks 0_1 with 24465, killing 3 units
0_2 attacks 1_9 with 21840, killing 1 units
1_7 attacks 0_6 with 34170, killing 5 units
0_0 attacks 1_0 with 42537, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77310, killing 8 units
Tick 2660_6 attacks 1_6 with 45600, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 87724, killing 2 units
0_1 attacks 1_3 with 98656, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 45770, killing 0 units
1_9 attacks 0_1 with 24450, killing 3 units
0_2 attacks 1_9 with 21680, killing 1 units
1_7 attacks 0_6 with 34102, killing 5 units
0_0 attacks 1_0 with 42306, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77301, killing 8 units
Tick 2670_6 attacks 1_6 with 45400, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 87308, killing 2 units
0_1 attacks 1_3 with 98608, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 45600, killing 0 units
1_9 attacks 0_1 with 24435, killing 3 units
0_2 attacks 1_9 with 21520, killing 1 units
1_7 attacks 0_6 with 34034, killing 5 units
0_0 attacks 1_0 with 42075, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77292, killing 8 units
Tick 2680_6 attacks 1_6 with 45200, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 86892, killing 2 units
0_1 attacks 1_3 with 98560, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 45430, killing 0 units
1_9 attacks 0_1 with 24420, killing 3 units
0_2 attacks 1_9 with 21360, killing 1 units
1_7 attacks 0_6 with 33966, killing 5 units
0_0 attacks 1_0 with 41844, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77283, killing 8 units
Tick 2690_6 attacks 1_6 with 45000, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 86476, killing 2 units
0_1 attacks 1_3 with 98512, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 45260, killing 0 units
1_9 attacks 0_1 with 24405, killing 3 units
0_2 attacks 1_9 with 21200, killing 1 units
1_7 attacks 0_6 with 33898, killing 5 units
0_0 attacks 1_0 with 41613, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77274, killing 8 units
Tick 2700_6 attacks 1_6 with 44800, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 86060, killing 2 units
0_1 attacks 1_3 with 98464, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 45090, killing 0 units
1_9 attacks 0_1 with 24390, killing 3 units
0_2 attacks 1_9 with 21040, killing 1 units
1_7 attacks 0_6 with 33830, killing 5 units
0_0 attacks 1_0 with 41382, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77265, killing 8 units
Tick 2710_6 attacks 1_6 with 44600, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 85644, killing 2 units
0_1 attacks 1_3 with 98416, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 44920, killing 0 units
1_9 attacks 0_1 with 24375, killing 3 units
0_2 attacks 1_9 with 20880, killing 1 units
1_7 attacks 0_6 with 33762, killing 5 units
0_0 attacks 1_0 with 41151, killing 0 units
1_0 attacks 0_3 with 172318, killing 17 units
1_6 attacks 0_4 with 77256, killing 8 units
Tick 2720_6 attacks 1_6 with 44400, killing 1 units
1_1 attacks 0_2 with 179212, killing 20 units
0_4 attacks 1_7 with 85228, killing 2 units
0_1 attacks 1_3 with 98368, killing 2 units
1_5 attacks 0_0 with 76710, killing 7 units
0_3 attacks 1_1 with 44750, killing 0 units
1_9 attacks 0_1 with 24360, killing 3 units
0_2 attacks 1_9 with 20720, killing 1 units
